id,moi
SRR22671781,1
SRR22672009,1
SRR22671978,1
SRR22671913,2
SRR22671914,1
SRR22671745,2
SRR22671651,1
SRR22671911,1
SRR22671677,2
SRR22671661,2
SRR22671976,1
SRR22671969,2
SRR22671706,1
SRR22671780,1
SRR22671984,3
SRR22671901,1
SRR22671893,2
SRR22671908,1
SRR22671718,2
SRR22671674,2
SRR22671982,2
SRR22672108,1
SRR22671757,1
SRR22671754,1
SRR22671920,1
SRR22671775,1
SRR22671986,1
SRR22671898,1
SRR22671980,2
SRR22671916,1
SRR22671759,1
SRR22671903,1
SRR22671733,1
SRR22671615,1
SRR22672102,2
SRR22671669,2
SRR22671621,1
SRR22671764,2
SRR22671637,2
SRR22671664,2
SRR22671896,2
SRR22671770,2
SRR22672114,1
SRR22672002,1
SRR22672007,1
SRR22671646,2
SRR22671921,1
SRR22671749,2
SRR22671666,1
SRR22671777,1
SRR22671727,2
SRR22671890,2
SRR22672104,1
SRR22671758,2
SRR22672118,1
SRR22671891,1
SRR22672120,1
SRR22671697,2
SRR22671774,1
SRR22671975,1
SRR22671973,2
SRR22671983,2
SRR22671905,1
SRR22671769,1
SRR22671743,1
SRR22671900,1
SRR22671763,1
SRR22671620,1
SRR22671619,2
SRR22672011,1
SRR22671730,1
SRR22671716,2
SRR22671760,1
SRR22671767,1
SRR22672112,1
SRR22671785,1
SRR22671904,1
SRR22671679,2
SRR22671744,1
SRR22671631,3
SRR22671985,3
SRR22671999,1
SRR22671717,2
SRR22671991,2
SRR22671773,3
SRR22672119,1
SRR22671899,2
SRR22671761,2
SRR22671765,1
SRR22671910,1
SRR22671700,3
SRR22671776,1
SRR22671909,2
SRR22671786,2
SRR22672103,1
SRR22671618,1
SRR22671995,2
SRR22671912,1
SRR22671772,1
SRR22671990,1
SRR22672116,1
SRR22671660,2
SRR22671762,2
SRR22671752,2
SRR22671746,1
SRR22671993,2
SRR22671981,1